#,id,date,json
63,10310,1996-09-20,"{""id"": 10310, ""date"": ""1996-09-20""}"
64,10311,1996-09-20,"{""id"": 10311, ""date"": ""1996-09-20""}"
65,10312,1996-09-23,"{""id"": 10312, ""date"": ""1996-09-23""}"
66,10313,1996-09-24,"{""id"": 10313, ""date"": ""1996-09-24""}"
67,10314,1996-09-25,"{""id"": 10314, ""date"": ""1996-09-25""}"
68,10315,1996-09-26,"{""id"": 10315, ""date"": ""1996-09-26""}"
69,10316,1996-09-27,"{""id"": 10316, ""date"": ""1996-09-27""}"
70,10317,1996-09-30,"{""id"": 10317, ""date"": ""1996-09-30""}"
71,10318,1996-10-01,"{""id"": 10318, ""date"": ""1996-10-01""}"
72,10319,1996-10-02,"{""id"": 10319, ""date"": ""1996-10-02""}"
73,10320,1996-10-03,"{""id"": 10320, ""date"": ""1996-10-03""}"
74,10321,1996-10-03,"{""id"": 10321, ""date"": ""1996-10-03""}"
75,10322,1996-10-04,"{""id"": 10322, ""date"": ""1996-10-04""}"
76,10323,1996-10-07,"{""id"": 10323, ""date"": ""1996-10-07""}"
77,10324,1996-10-08,"{""id"": 10324, ""date"": ""1996-10-08""}"
78,10325,1996-10-09,"{""id"": 10325, ""date"": ""1996-10-09""}"
79,10326,1996-10-10,"{""id"": 10326, ""date"": ""1996-10-10""}"
80,10327,1996-10-11,"{""id"": 10327, ""date"": ""1996-10-11""}"
81,10328,1996-10-14,"{""id"": 10328, ""date"": ""1996-10-14""}"
82,10329,1996-10-15,"{""id"": 10329, ""date"": ""1996-10-15""}"
83,10330,1996-10-16,"{""id"": 10330, ""date"": ""1996-10-16""}"
84,10331,1996-10-16,"{""id"": 10331, ""date"": ""1996-10-16""}"
85,10332,1996-10-17,"{""id"": 10332, ""date"": ""1996-10-17""}"
86,10333,1996-10-18,"{""id"": 10333, ""date"": ""1996-10-18""}"
87,10334,1996-10-21,"{""id"": 10334, ""date"": ""1996-10-21""}"
88,10335,1996-10-22,"{""id"": 10335, ""date"": ""1996-10-22""}"
89,10336,1996-10-23,"{""id"": 10336, ""date"": ""1996-10-23""}"
90,10337,1996-10-24,"{""id"": 10337, ""date"": ""1996-10-24""}"
91,10338,1996-10-25,"{""id"": 10338, ""date"": ""1996-10-25""}"
92,10339,1996-10-28,"{""id"": 10339, ""date"": ""1996-10-28""}"
93,10340,1996-10-29,"{""id"": 10340, ""date"": ""1996-10-29""}"
94,10341,1996-10-29,"{""id"": 10341, ""date"": ""1996-10-29""}"
95,10342,1996-10-30,"{""id"": 10342, ""date"": ""1996-10-30""}"
96,10343,1996-10-31,"{""id"": 10343, ""date"": ""1996-10-31""}"
97,10344,1996-11-01,"{""id"": 10344, ""date"": ""1996-11-01""}"
98,10345,1996-11-04,"{""id"": 10345, ""date"": ""1996-11-04""}"
99,10346,1996-11-05,"{""id"": 10346, ""date"": ""1996-11-05""}"
100,10347,1996-11-06,"{""id"": 10347, ""date"": ""1996-11-06""}"
101,10348,1996-11-07,"{""id"": 10348, ""date"": ""1996-11-07""}"
102,10349,1996-11-08,"{""id"": 10349, ""date"": ""1996-11-08""}"
103,10350,1996-11-11,"{""id"": 10350, ""date"": ""1996-11-11""}"
104,10351,1996-11-11,"{""id"": 10351, ""date"": ""1996-11-11""}"
105,10352,1996-11-12,"{""id"": 10352, ""date"": ""1996-11-12""}"
106,10353,1996-11-13,"{""id"": 10353, ""date"": ""1996-11-13""}"
107,10354,1996-11-14,"{""id"": 10354, ""date"": ""1996-11-14""}"
108,10355,1996-11-15,"{""id"": 10355, ""date"": ""1996-11-15""}"
109,10356,1996-11-18,"{""id"": 10356, ""date"": ""1996-11-18""}"
110,10357,1996-11-19,"{""id"": 10357, ""date"": ""1996-11-19""}"
111,10358,1996-11-20,"{""id"": 10358, ""date"": ""1996-11-20""}"
112,10359,1996-11-21,"{""id"": 10359, ""date"": ""1996-11-21""}"
113,10360,1996-11-22,"{""id"": 10360, ""date"": ""1996-11-22""}"
114,10361,1996-11-22,"{""id"": 10361, ""date"": ""1996-11-22""}"
115,10362,1996-11-25,"{""id"": 10362, ""date"": ""1996-11-25""}"
116,10363,1996-11-26,"{""id"": 10363, ""date"": ""1996-11-26""}"
117,10364,1996-11-26,"{""id"": 10364, ""date"": ""1996-11-26""}"
118,10365,1996-11-27,"{""id"": 10365, ""date"": ""1996-11-27""}"
119,10366,1996-11-28,"{""id"": 10366, ""date"": ""1996-11-28""}"
120,10367,1996-11-28,"{""id"": 10367, ""date"": ""1996-11-28""}"
121,10368,1996-11-29,"{""id"": 10368, ""date"": ""1996-11-29""}"
122,10369,1996-12-02,"{""id"": 10369, ""date"": ""1996-12-02""}"
123,10370,1996-12-03,"{""id"": 10370, ""date"": ""1996-12-03""}"
124,10371,1996-12-03,"{""id"": 10371, ""date"": ""1996-12-03""}"
125,10372,1996-12-04,"{""id"": 10372, ""date"": ""1996-12-04""}"
126,10373,1996-12-05,"{""id"": 10373, ""date"": ""1996-12-05""}"
127,10374,1996-12-05,"{""id"": 10374, ""date"": ""1996-12-05""}"
128,10375,1996-12-06,"{""id"": 10375, ""date"": ""1996-12-06""}"
129,10376,1996-12-09,"{""id"": 10376, ""date"": ""1996-12-09""}"
130,10377,1996-12-09,"{""id"": 10377, ""date"": ""1996-12-09""}"
131,10378,1996-12-10,"{""id"": 10378, ""date"": ""1996-12-10""}"
132,10379,1996-12-11,"{""id"": 10379, ""date"": ""1996-12-11""}"
133,10380,1996-12-12,"{""id"": 10380, ""date"": ""1996-12-12""}"
134,10381,1996-12-12,"{""id"": 10381, ""date"": ""1996-12-12""}"
135,10382,1996-12-13,"{""id"": 10382, ""date"": ""1996-12-13""}"
136,10383,1996-12-16,"{""id"": 10383, ""date"": ""1996-12-16""}"
137,10384,1996-12-16,"{""id"": 10384, ""date"": ""1996-12-16""}"
138,10385,1996-12-17,"{""id"": 10385, ""date"": ""1996-12-17""}"
139,10386,1996-12-18,"{""id"": 10386, ""date"": ""1996-12-18""}"
140,10387,1996-12-18,"{""id"": 10387, ""date"": ""1996-12-18""}"
141,10388,1996-12-19,"{""id"": 10388, ""date"": ""1996-12-19""}"
142,10389,1996-12-20,"{""id"": 10389, ""date"": ""1996-12-20""}"
143,10390,1996-12-23,"{""id"": 10390, ""date"": ""1996-12-23""}"
144,10391,1996-12-23,"{""id"": 10391, ""date"": ""1996-12-23""}"
145,10392,1996-12-24,"{""id"": 10392, ""date"": ""1996-12-24""}"
146,10393,1996-12-25,"{""id"": 10393, ""date"": ""1996-12-25""}"
147,10394,1996-12-25,"{""id"": 10394, ""date"": ""1996-12-25""}"
148,10395,1996-12-26,"{""id"": 10395, ""date"": ""1996-12-26""}"
149,10396,1996-12-27,"{""id"": 10396, ""date"": ""1996-12-27""}"
150,10397,1996-12-27,"{""id"": 10397, ""date"": ""1996-12-27""}"
151,10398,1996-12-30,"{""id"": 10398, ""date"": ""1996-12-30""}"
152,10399,1996-12-31,"{""id"": 10399, ""date"": ""1996-12-31""}"
153,10400,1997-01-01,"{""id"": 10400, ""date"": ""1997-01-01""}"
154,10401,1997-01-01,"{""id"": 10401, ""date"": ""1997-01-01""}"
155,10402,1997-01-02,"{""id"": 10402, ""date"": ""1997-01-02""}"
156,10403,1997-01-03,"{""id"": 10403, ""date"": ""1997-01-03""}"
157,10404,1997-01-03,"{""id"": 10404, ""date"": ""1997-01-03""}"
158,10405,1997-01-06,"{""id"": 10405, ""date"": ""1997-01-06""}"
159,10406,1997-01-07,"{""id"": 10406, ""date"": ""1997-01-07""}"
160,10407,1997-01-07,"{""id"": 10407, ""date"": ""1997-01-07""}"
161,10408,1997-01-08,"{""id"": 10408, ""date"": ""1997-01-08""}"
162,10409,1997-01-09,"{""id"": 10409, ""date"": ""1997-01-09""}"
163,10410,1997-01-10,"{""id"": 10410, ""date"": ""1997-01-10""}"
164,10411,1997-01-10,"{""id"": 10411, ""date"": ""1997-01-10""}"
165,10412,1997-01-13,"{""id"": 10412, ""date"": ""1997-01-13""}"
166,10413,1997-01-14,"{""id"": 10413, ""date"": ""1997-01-14""}"
167,10414,1997-01-14,"{""id"": 10414, ""date"": ""1997-01-14""}"
168,10415,1997-01-15,"{""id"": 10415, ""date"": ""1997-01-15""}"
169,10416,1997-01-16,"{""id"": 10416, ""date"": ""1997-01-16""}"
170,10417,1997-01-16,"{""id"": 10417, ""date"": ""1997-01-16""}"
171,10418,1997-01-17,"{""id"": 10418, ""date"": ""1997-01-17""}"
172,10419,1997-01-20,"{""id"": 10419, ""date"": ""1997-01-20""}"
173,10420,1997-01-21,"{""id"": 10420, ""date"": ""1997-01-21""}"
174,10421,1997-01-21,"{""id"": 10421, ""date"": ""1997-01-21""}"
175,10422,1997-01-22,"{""id"": 10422, ""date"": ""1997-01-22""}"
176,10423,1997-01-23,"{""id"": 10423, ""date"": ""1997-01-23""}"
177,10424,1997-01-23,"{""id"": 10424, ""date"": ""1997-01-23""}"
178,10425,1997-01-24,"{""id"": 10425, ""date"": ""1997-01-24""}"
179,10426,1997-01-27,"{""id"": 10426, ""date"": ""1997-01-27""}"
180,10427,1997-01-27,"{""id"": 10427, ""date"": ""1997-01-27""}"
181,10428,1997-01-28,"{""id"": 10428, ""date"": ""1997-01-28""}"
182,10429,1997-01-29,"{""id"": 10429, ""date"": ""1997-01-29""}"
183,10430,1997-01-30,"{""id"": 10430, ""date"": ""1997-01-30""}"
184,10431,1997-01-30,"{""id"": 10431, ""date"": ""1997-01-30""}"
185,10432,1997-01-31,"{""id"": 10432, ""date"": ""1997-01-31""}"
186,10433,1997-02-03,"{""id"": 10433, ""date"": ""1997-02-03""}"
187,10434,1997-02-03,"{""id"": 10434, ""date"": ""1997-02-03""}"
188,10435,1997-02-04,"{""id"": 10435, ""date"": ""1997-02-04""}"
189,10436,1997-02-05,"{""id"": 10436, ""date"": ""1997-02-05""}"
190,10437,1997-02-05,"{""id"": 10437, ""date"": ""1997-02-05""}"
191,10438,1997-02-06,"{""id"": 10438, ""date"": ""1997-02-06""}"
192,10439,1997-02-07,"{""id"": 10439, ""date"": ""1997-02-07""}"
193,10440,1997-02-10,"{""id"": 10440, ""date"": ""1997-02-10""}"
194,10441,1997-02-10,"{""id"": 10441, ""date"": ""1997-02-10""}"
195,10442,1997-02-11,"{""id"": 10442, ""date"": ""1997-02-11""}"
196,10443,1997-02-12,"{""id"": 10443, ""date"": ""1997-02-12""}"
